Country Name,2010,2011,2012,2013,2014
Australia,1.475880545,1.850154608,1.831530333,2.285736,2.553106587
Austria,10.85762915,10.10959525,12.87800183,12.48371677,12.86974617
Brazil,14.67716784,15.39405343,14.49236591,13.19855871,12.45975844
Canada,20.63121971,21.21699802,21.77640818,22.95455488,22.53991656
China,3.687979769,3.665282211,4.311734437,4.793418462,5.426837341
Germany,13.2349245,11.6460596,11.25153702,11.07170725,11.70940465
France,45.27348662,47.99166756,46.77968075,46.88525377,50.07440869
India,2.801540288,3.223469738,2.968356726,3.18726186,3.019171705
Iceland,88.45464545,89.72528057,89.638477,89.53228033,88.99552586
Italy,5.902529758,6.473029297,7.12166611,8.276791386,9.314972121
Japan,17.20422244,8.110850293,3.207093278,2.979747428,2.791515069
United States,11.74401556,12.02083556,11.89936596,12.12134655,12.11034098
World,8.981861558,8.626783725,8.444160788,8.62115698,8.89933184
South Africa,2.400944662,2.66895185,2.371184726,2.784258318,2.699056345
